model,base,mean_test_score,rank_test_score,clf__alpha,clf__loss,clf__penalty,cxf__chars__min_df,cxf__postf__ngram_range,cxf__words__ngram_range,clf__C
SGD,SGDClassifier(max_iter=5000),0.7728466256713988,1.0,0.001,hinge,l1,0.1,"(1, 1)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7709499150166312,2.0,0.01,log_loss,l2,0.1,"(1, 2)","(1, 3)",
SGD,SGDClassifier(max_iter=5000),0.7708942651021071,3.0,0.001,log_loss,l2,0.25,"(1, 2)","(1, 3)",
SGD,SGDClassifier(max_iter=5000),0.7706151178869447,4.0,0.0001,log_loss,l2,0.25,"(1, 2)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7701755638324043,5.0,0.01,hinge,l2,0.25,"(1, 2)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7694172190404687,6.0,0.1,log_loss,l1,0.1,"(1, 2)","(1, 3)",
SGD,SGDClassifier(max_iter=5000),0.7678805175099306,7.0,0.01,hinge,l2,0.1,"(1, 2)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.767763682817046,8.0,0.01,hinge,l1,0.1,"(1, 1)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.7673573799813375,9.0,0.1,log_loss,l1,0.1,"(1, 1)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7666545705345374,10.0,,,,,"(1, 1)","(1, 2)",10.0
SGD,SGDClassifier(max_iter=5000),0.7654768798196885,11.0,1.0,log_loss,l2,0.25,"(1, 1)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.7652962537152698,12.0,0.1,log_loss,l2,0.25,"(1, 2)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.7642830626582536,13.0,0.001,log_loss,l2,0.1,"(1, 2)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.764195117851534,14.0,0.001,log_loss,l1,0.25,"(1, 3)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7640028030117401,15.0,0.001,hinge,l1,0.1,"(1, 2)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.7632975478330105,16.0,0.0001,log_loss,l2,0.25,"(1, 2)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.7632277212272343,17.0,,,,,"(1, 1)","(1, 1)",100.0
SGD,SGDClassifier(max_iter=5000),0.7630413733944034,18.0,0.0001,hinge,l1,0.25,"(1, 2)","(1, 3)",
SGD,SGDClassifier(max_iter=5000),0.762895242680822,19.0,0.1,log_loss,l2,0.25,"(1, 3)","(1, 1)",
SGD,SGDClassifier(max_iter=5000),0.7628826806089062,20.0,1.0,log_loss,l2,0.25,"(1, 2)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7626489178976918,21.0,0.1,hinge,l2,0.1,"(1, 3)","(1, 3)",
SGD,SGDClassifier(max_iter=5000),0.7624454870845254,22.0,0.001,hinge,l1,0.25,"(1, 1)","(1, 2)",
SGD,SGDClassifier(max_iter=5000),0.7620825031783154,23.0,0.0001,log_loss,l1,0.25,"(1, 3)","(1, 3)",
